KT;ORTNAME;PLZ
LU;Baldegg;6283
AG;Baldingen;5333
SG;Balen;7317
TI;Balerna;6828
SG;Balgach;9436
VD;Ballaigues;1338
VD;Ballens;1144
BE;Ballmoos;3303
LU;Ballwil;6275
SO;Balm bei Günsberg;4525
BE;Balm bei Meiringen;3860
SO;Balm bei Messen;3254
SO;Balmberg;4524
SO;Balsthal;4710
AG;Baltenschwil;8962
ZH;Baltenswil;8303
TG;Balterswil;8362
VS;Baltschieder;3937
AG;Balzenwil;4856
TI;Banco;6981
BE;Bangerten bei Dieterswil;3256
BE;Bangerten bei Worb;3076
BE;Bangerten bei Worb;3076
ZH;Bänikon;8426
TG;Bänikon;8514
ZH;Bänk;8471
BE;Bannwil;4913
BE;Bantigen;3065
BE;Bärau;3552
TI;Barbengo;6917
TI;Barbengo Paese;6917
FR;Barberêche;1783
GE;Bardonnex;1257
ZH;Bäretswil;8344
BE;Bärfischenhaus;3204
BE;Bärfischenhaus;3204
BE;Bargen;3282
SH;Bargen;8233
BE;Bäriswil;3323
AG;Barmelweid;5017
SO;Bärschwil;4252
SO;Bärschwil Station;4252
SH;Barzheim;8241
TG;Basadingen;8254
BS;Basel;4000
JU;Bassecourt;2854
VS;Basse-Nendaz;1996
ZH;Bassersdorf;8303
VD;Bassins;1269
FR;Bas-Vully;1786
TG;Bätershausen;8573
BE;Bätterkinden;3315
SO;Bättwil;4112
UR;Bauen;6466
VD;Baugy;1815
VD;Baulmes;1446
ZH;Bauma;8494
VD;Bavois;1372
SG;Bazenheid;9602
BE;Beatenberg;3803
BE;Beatenbucht;3658
ZH;Bebikon;8414
NW;Beckenried;6375
TI;Bedano;6930
TI;Bedigliora;6981
TI;Bedretto;6781
SH;Beggingen;8228
VD;Begnins;1268
SO;Beinwil;4229
AG;Beinwil (Freiamt);5637
AG;Beinwil am See;5712
BE;Beitenwil;3113
VS;Belalp;3914
FR;Belfaux;1782
JU;Belfond;2354
SO;Bellach;4512
FR;Bellechasse;1786
BE;Bellelay;2713
VD;Bellerive;1585
GE;Bellerive;1222
JU;Bellerive;2805
JU;Bellerive;2805
GE;Bellevue;1293
AG;Bellikon;5454
TI;Bellinzona;6500
BE;Bellmund;2564
VS;Bellwald;3997
VD;Belmont-sur-Lausanne;1092
VD;Belmont-sur-Yverdon;1432
BE;Belp;3123
BE;Belpberg;3124
BE;Belprahon;2744
NE;Bémont;2406
AR;Bendlehn;9042
ZH;Bendlikon;8802
VD;Bénex;1197
ZH;Benglen;8121
ZH;Benken;8463
BL;Benken;4105
SG;Benken;8717
SZ;Bennau;8836
BL;Bennwil;4431
AG;Benzenschwil;5636
VD;Bercher;1038
ZH;Berg;8625
ZH;Berg;8471
SG;Berg;9305
TG;Berg;8572
ZH;Berg am Irchel;8415
AG;Bergdietikon;8962
GR;Bergün/Bravuogn;7482
TI;Beride;6981
AG;Berikon;8965
SH;Beringen;8222
VS;Berisal;3900
BE;Berken;3376
FR;Berlens;1680
JU;Berlincourt;2854
TG;Berlingen;8267
BE;Bern;3000
AG;Bernau;5325
AI;Berneck;9442
SG;Berneck;9442
GE;Bernex;1233
SG;Bernhardzell;9304
GR;Bernina Suot;7504
TG;Bernrain;8280
VD;Berolle;1149
LU;Beromünster;6215
SG;Berschis;8892
ZH;Bertschikon;8614
ZH;Bertschikon bei Attikon;8543
TI;Berzona;6661
TI;Besazio;6863
AG;Besenbüren;5627
FR;Besencens;1609
TG;Bethelhausen;8546
BE;Bethlehem;3000
SG;Betlis;8872
GL;Betschwanden;8777
VS;Betten;3991
BE;Bettenhausen;3366
VD;Bettens;1042
BS;Bettingen;4126
SO;Bettlach;2544
VS;Bettmeralp;3992
TG;Bettwiesen;9553
AG;Bettwil;5618
JU;Beurnevésin;2935
VS;Beuson;1996
NE;Bevaix;2022
GR;Bever;7502
BE;Bévilard;2735
ZH;Bewangen;8543
VD;Bex;1880
SG;Bezikon;8735
AG;Beznau;5312
TI;Biasca;6710
TI;Biasca Stazione;6710
JU;Biaufond;2336
SZ;Biberbrugg;8836
SZ;Biberbrugg;8836
BE;Biberen;3206
SO;Biberist;4562
SH;Bibermühle bei Ramsen;8262
SO;Bibern;4578
SH;Bibern;8242
AG;Biberstein;5023
TG;Bichelsee;8363
SG;Bichwil;9248
BE;Bickigen;3472
ZH;Bickwil;8912
TI;Bidogno;6958
BL;Biel;4105
VS;Biel;3989
BE;Biel/Bienne;2500
BE;Biembach im Emmental;3419
BL;Bienenberg;4410
VD;Bière;1145
TG;Biessenhofen;8580
TG;Biessenhofen;8580
ZH;Bietenholz;8307
VS;Bieudron;1996
SO;Biezwil;4585
BE;Bigenthal;3513
BE;Biglen;3507
TI;Bignasco;6676
TI;Bigogno;6927
TI;Bigorio;6954
ZH;Billikon;8314
GL;Bilten;8865
VS;Binn;3996
BL;Binningen;4102
ZH;Binz;8122
ZH;Binzikon;8627
TI;Bioggio;6934
TI;Biogno;6981
TI;Biogno;6932
VD;Bioley-Magnoux;1407
VD;Bioley-Orjulaz;1042
FR;Bionnens;1670
ZH;Birchwil;8309
VS;Birgisch;3903
ZH;Birmensdorf;8903
AG;Birmenstorf;5413
TI;Bironico;6804
AG;Birr;5242
AG;Birrhard;5244
AG;Birri;5628
AG;Birrwil;5708
BL;Birsfelden;4127
BL;Birsfelden;4127
TG;Birwinken;8585
TG;Bischofszell;9220
ZH;Bisikon;8307
SZ;Bisisthal;6436
TG;Bissegg;8514
TI;Bissone;6816
VS;Bister;3983
VS;Bitsch;3982
BE;Bittwil bei Rapperswil;3255
GR;Bivio;7457
BE;Blankenburg;3771
BE;Blapach;3537
VS;Blatten;3919
LU;Blatten (Malters);6102
VS;Blatten bei Naters;3914
BL;Blauen;4223
BE;Blausee;3717
SO;Bleichenberg;4562
BE;Bleienbach;3368
TG;Bleiken;8583
BE;Bleiken bei Oberdiessbach;3674
FR;Blessens;1675
ZG;Blickensdorf;6340
TG;Blidegg;9220
ZH;Bliggenswil;8494
VS;Blignoud;1966
ZH;Blitterswil;8493
VS;Blitzingen;3989
VD;Blonay;1807
VS;Bluche;3975
BE;Blumenstein;3638
AG;Böbikon;5334
BL;Böckten;4461
BE;Boden;3715
TI;Bodio;6743
JU;Boécourt;2856
VD;Bofflens;1353
VD;Bogis-Bossey;1279
LU;Bognau;6216
TI;Bogno;6951
LU;Bohler;6221
AG;Bohler;6221
VD;Bois-Bougy;1260
NE;Bôle;2014
SO;Bolken;4556
BE;Boll;3067
AG;Boll bei Wohlen;5610
BE;Bolligen;3065
SG;Bollingen;8715
FR;Bollion;1470
BE;Bollodingen;3366
BE;Boltigen;3766
TG;Boltshausen;8561
TI;Bombinasco;6981
GR;Bonaduz;7402
TG;Bonau;8554
JU;Boncourt;2926
GR;Bondo;7606
JU;Bonfol;2944
BE;Bönigen;3806
SO;Boningen;4618
AG;Boniswil;5706
FR;Bonnefontaine;1724
ZH;Bonstetten;8906
VD;Bonvillars;1427
ZH;Boppelsen;8113
VD;Borex;1277
TI;Borgnone;6658
GR;Borgonovo;7604
TG;Bornhausen;8264
GR;Bos-cha;7545
TI;Boscherina;6852
TI;Bosco Luganese;6935
TI;Bosco/Gurin;6685
FR;Bösingen;3178
FR;Bossonnens;1615
GE;Bossy;1239
AG;Boswil;5623
SG;Botsberg;9230
VD;Bottens;1041
AG;Bottenwil;4814
FR;Botterens;1652
TG;Bottighofen;8598
BL;Bottmingen;4103
AG;Böttstein;5315
VS;Botyre;1966
NE;Boudevilliers;2043
NE;Boudry;2017
VD;Bougy-Villars;1172
VD;Boulens;1063
FR;Bouloz;1699
GE;Bourdigny;1242
VS;Bourg-St-Pierre;1946
FR;Bourguillon;1722
VD;Bournens;1035
JU;Bourrignon;2803
VD;Boussens;1034
VS;Bouveret;1897
NE;Boveresse;2113
VS;Bovernier;1932
BE;Bowil;3533
AG;Bözen;5076
BE;Bözingen;2500
GR;Braggio;6544
GR;Brail;7527
BE;Bramberg;3176
LU;Bramboden;6167
VS;Bramois;1967
VS;Branche-d'en-Bas;1944
VS;Branche-d'en-Haut;1944
VS;Branson;1926
VS;Bratsch;3957
TG;Braunau;9502
GL;Braunwald;8784
TI;Brè sopra Lugano;6979
TI;Breganzona;6932
GR;Breil/Brigels;7165
FR;Breilles;1783
ZH;Breite;8309
BS;Breite;4000
LU;Breiten;6130
VS;Breiten;3983
SO;Breitenbach;4226
BE;Breitenegg;3474
TG;Breitenloo;9214
BE;Breitenrain;3000
ZH;Breiti-Saland;8492
VD;Bremblens;1121
AG;Bremgarten;5620
BE;Bremgarten bei Bern;3047
AR;Brenden;9426
VD;Brenles;1683
TI;Breno;6937
VD;Brent;1817
BE;Brenzikofen;3671
JU;Bressaucourt;2904
VD;Bressonnaz;1510
VD;Bressonnaz;1510
VD;Bressonnaz;1510
VD;Bretaye;1884
VD;Bretigny-sur-Morrens;1053
VD;Bretonnières;1329
BL;Bretzwil;4207
VS;Briannen;3951
VS;Brie;3966
TI;Briee;6672
BE;Brienz;3855
GR;Brienz/Brinzauls;7084
BE;Brienzwiler;3856
VS;Brig;3900
VS;Brigerbad;3900
VS;Brignon;1996
TI;Brione (Verzasca);6634
TI;Brione sopra Minusio;6645
TI;Brione sopra Minusio;6645
LU;Briseck;6144
BL;Brislach;4225
TI;Brissago;6614
UR;Bristen;6475
SO;Brittern;4588
AG;Brittnau;4805
FR;Broc;1636
FR;Broc-Fabrique;1636
BE;Brodhüsi;3752
TI;Broglio;6693
SG;Bronschhofen;9552
TI;Brontallo;6692
NE;Brot-Dessous;2149
NE;Brot-Dessus;2318
NE;Brot-Plamboz;2318
BS;Bruderholz;4000
BL;Bruderholz;4101
BL;Bruderholz;4101
AG;Brugg;5200
BE;Brügg;2555
BE;Brüggelbach;3176
SG;Bruggen;9000
SO;Brügglen;4582
AI;Brülisau;9058
AI;Brülisau;9058
GR;Brün;7122
AG;Brunegg;5505
ZH;Brünggen;8483
BE;Brünig;3860
BE;Brünigen;3860
FR;Brünisried;1719
SG;Brunnadern;9125
SZ;Brunnen;6440
SO;Brunnenthal;3307
SO;Brunnersberg;4717
SO;Brunnersberg;4717
AG;Brunnwil;5637
TI;Brusata;6883
TG;Brüschwil;8580
TI;Brusino Arsizio;6827
GR;Brusio;7743
VS;Bruson;1934
BE;Brüttelen;3237
ZH;Brütten;8311
ZH;Brüttisellen;8306
TI;Bruzella;6837
BL;Bubendorf;4416
ZH;Bubikon;8608
AG;Büblikon;5512
SH;Buch;8263
ZH;Buch am Irchel;8414
TG;Buch bei Frauenfeld;8524
TG;Buch bei Happerswil;8586
TG;Buch bei Märwil;9562
BE;Buch bei Mühleberg;3205
TG;Buchackern;8586
SH;Buchberg;8454
SO;Buchegg;4586
SG;Büchel;9464
BE;Buchen;3623
GR;Buchen im Prättigau;7223
ZH;Buchenegg;8143
BE;Buchholterberg;3615
BE;Buchholz;3600
VD;Buchillon;1164
LU;Buchrain;6033
ZH;Buchs;8107
LU;Buchs;6211
SG;Buchs;9470
AG;Buchs;5033
FR;Büchslen;3215
SH;Buchthalen;8203
BL;Buckten;4446
SG;Buechen bei Staad;9422
AG;Büelisacher;5622
BE;Büetigen;3263
VD;Bugnaux;1180
TG;Bühl;8500
BE;Bühl bei Aarberg;3274
AR;Bühler;9055
TG;Buhwil;9215
JU;Buix;2925
ZH;Bülach;8180
FR;Bulle;1630
VD;Bullet;1453
BE;Bumbach;6197
BE;Bümpliz;3000
BE;Bundkofen;3054
FR;Bundtels;3186
SG;Bunt;9630
AG;Bünzen;5624
NW;Buochs;6374
ZG;Buonas;6343
VS;Bürchen;3935
JU;Bure;2915
SO;Büren;4413
AG;Büren;5272
TG;Büren;8558
BE;Büren an der Aare;3294
NW;Büren nid dem Bach;6382
BE;Büren zum Hof;3313
BE;Bürenberg;2603
AG;Burg;5736
TG;Burg;8570
SG;Bürg;8732
FR;Burg bei Murten;3280
BL;Burg im Leimental;4117
SO;Burgäschi;4556
SG;Burgau;9230
BE;Burgdorf;3400
NW;Bürgenstock;6363
NW;Bürgenstock;6363
SG;Burgerau;9470
ZH;Burghalden;8805
BE;Burgistein;3664
BE;Burgistein Station;3664
BE;Burgistein Station;3664
BE;Burglauenen;3816
UR;Bürglen;6463
OW;Bürglen;6078
TG;Bürglen;8575
VD;Burier;1814
SG;Buriet;9425
AI;Büriswilen;9442
LU;Büron;6233
VD;Bursinel;1195
VD;Bursins;1183
VD;Burtigny;1268
AG;Büschikon;5522
AG;Büschikon;5522
GR;Buseno;6542
ZH;Bussenhusen;8330
SO;Büsserach;4227
VD;Bussigny-près-Lausanne;1030
VD;Bussigny-sur-Oron;1608
AG;Busslingen;5453
TG;Bussnang;9565
TG;Busswil;8371
BE;Busswil bei Büren;3292
BE;Busswil bei Heimiswil;3414
BE;Busswil bei Melchnau;4917
FR;Bussy;1541
VD;Bussy-Chardonney;1136
VD;Bussy-sur-Moudon;1514
BE;Bütikofen;3422
SG;Bütschwil;9606
SH;Büttenhardt;8236
BE;Buttenried;3203
NE;Buttes;2115
SZ;Buttikon;8863
AG;Büttikon;5619
LU;Buttisholz;6018
AG;Buttwil;5632
AG;Bütz;5085
BE;Bützberg;4922
BL;Buus;4463
TI;Cabbio;6838
GR;Cabbiolo;6558
TI;Cadanza;6658
TI;Cademario;6936
TI;Cadempino;6814
TI;Cadenazzo;6593
TI;Cadepiano;6917
TI;Cadro;6965
TI;Cagiallo;6955
TI;Calezzo;6655
GR;Calfreisen;7027
TI;Calonico;6746
TI;Calpiogna;6760
TI;Calprino;6900
GR;Cama;6557
GR;Camana;7107
TI;Camedo;6659
TI;Camignolo;6803
GR;Camischolas;7187
TI;Camorino;6528
GR;Campascio;7748
TI;Campello;6760
TI;Camperio;6718
TI;Campestro;6950
GR;Campliun;7166
TI;Campo (Blenio);6720
TI;Campo (Vallemaggia);6684
GR;Campocologno;7744
TI;Campora;6875
TI;Campra;6718
GR;Campsut;7446
GR;Camuns;7113
TI;Caneggio;6837
TI;Canobbio;6952
GR;Canols;7077
TI;Capidogno;6802
TI;Capolago;6825
TI;Caprino;6823
GE;Cara;1243
TI;Carabbia;6913
TI;Carabietta;6919
TI;Carasso;6500
TI;Cardada;6600
TI;Carena;6584
TI;Carì;6760
FR;Carignan;1565
TI;Carmena;6583
TI;Carona;6914
GE;Carouge;1227
GR;Carrera;7122
VD;Carrouge;1084
GE;Cartigny;1236
GR;Casaccia;7602
TI;Casate;6883
TI;Casima;6875
TI;Caslano;6987
TI;Cassarate;6900
TI;Cassero;6702
TI;Cassina d'Agno;6990
TI;Castagnola;6976
GR;Castaneda;6540
GR;Castasegna;7608
TI;Castel S. Pietro;6874
TI;Castelrotto;6980
GR;Casti;7433
GR;Castiel;7027
TI;Castione;6532
GR;Castrisch;7126
TI;Castro;6723
TI;Catto;6777
GR;Cauco;6546
VD;Caux;1824
GR;Cavaglia;7742
TI;Cavagnago;6749
GR;Cavajone;7748
TI;Cavallino;6823
GR;Cavardiras;7182
TI;Cavergno;6690
TI;Caviano;6578
TI;Cavigliano;6654
GR;Cazis;7408
GR;Celerina/Schlarigna;7505
GE;Céligny;1298
TI;Cerentino;6683
VD;Cergnat;1863
JU;Cerneux-Godat;2336
FR;Cerniat;1654
VD;Cerniaz;1682
NE;Cernier;2053
TI;Certara;6959
TI;Certenago;6926
GE;Certoux;1258
TI;Cevio;6675
FR;Châbles;1474
VD;Chabrey;1589
VD;Chailly;1000
VD;Chailly;1816
BE;Chaindon;2732
VS;Chalais;3966
ZG;Cham;6330
GE;Chambésy;1292
FR;Chamblioux;1763
FR;Chamblioux;1763
VD;Chamblon;1436
NE;Chambrelien;2019
NE;Chambrelien;2019
VD;Chamby;1832
VS;Chamoille;1933
VS;Chamoille d'Orsières;1937
VS;Chamoson;1955
VD;Champagne;1424
NE;Champ-du-Moulin;2149
NE;Champ-du-Moulin;2149
VS;Champéry;1874
VS;Champex;1938
GR;Champfèr;7512
GR;Champfèr;7512
VS;Champlan;1971
VD;Champmartin;1588
VS;Champoussin;1873
BE;Champoz;2735
VS;Champsec;1947
VD;Champtauroz;1537
VD;Champvent;1443
VS;Champzabé;3976
VS;Champzabé;3976
GR;Chamues-ch;7522
GE;Chancy;1284
VS;Chandolin;3961
VS;Chandolin;1965
FR;Chandon;1773
VS;Chandonne;1945
FR;Chandossel;1583
VD;Chanéaz;1409
GR;Chapella;7526
FR;Chapelle (Broye);1534
FR;Chapelle (Glâne);1608
VD;Chapelle-sur-Moudon;1063
SG;Chapf;9032
BL;Chäppeli;4153
VD;Chardonne;1803
VD;Chardonney;1041
FR;Charmey;1637
JU;Charmoille;2947
VS;Charrat;1906
GE;Charrot;1257
BE;Chasseral;2518
VD;Chasseron;1452
VD;Chataigneriaz;1297
VS;Châtaignier;1926
VD;Château-d'Oex;1660
VS;Châteauneuf;1950
GE;Châtelaine;1219
VD;Châtelard;1095
BE;Châtelat;2715
FR;Châtel-St-Denis;1618
FR;Châtel-sur-Montsalvens;1653
VD;Châtel-sur-Rolle;1186
VD;Châtillens;1610
FR;Châtillon;1473
JU;Châtillon;2843
FR;Châtonnaye;1553
NE;Chaumont;2067
NE;Chaumont;2067
VD;Chavannes-de-Bogis;1279
VD;Chavannes-des-Bois;1290
VD;Chavannes-le-Chêne;1464
FR;Chavannes-les-Forts;1676
VD;Chavannes-le-Veyron;1148
VD;Chavannes-près-Renens;1022
FR;Chavannes-sous-Orsonnens;1694
VD;Chavannes-sur-Moudon;1512
VD;Chavornay;1373
FR;Cheiry;1529
VS;Chelin;3978
VS;Chemex;1872
VS;Chemin;1927
VS;Chemin-Dessous;1927
VD;Chenaux;1091
GE;Chêne-Bougeries;1224
GE;Chêne-Bourg;1225
FR;Chénens;1744
VD;Chêne-Pâquier;1464
VS;Chermignon;3971
VS;Chermignon-d'en-Bas;3971
VS;Chermignon-d'en-Haut;3971
VD;Chernex;1822
JU;Chervillers;2885
VD;Chesalles-sur-Moudon;1683
VD;Chesalles-sur-Oron;1608
VD;Cheseaux;1400
VD;Cheseaux-sur-Lausanne;1033
VD;Chéserex;1275
VD;Chesières;1885
FR;Chésopelloz;1720
VD;Chessel;1846
JU;Chevenez;2906
VD;Chevilly;1316
GE;Chevrens;1247
GE;Chèvres;1233
GE;Chevrier;1244
VD;Chevroux;1545
VD;Chexbres;1071
VD;Chexbres;1071
FR;Cheyres;1468
VD;Chez le Maìtre;1347
VS;Chez Petit;1945
NE;Chézard;2054
JU;Chez-Basuel;2883
NE;Chez-le-Bart;2025
VS;Chez-les-Addy;1937
VS;Chez-les-Reuse;1937
VD;Chez-Meylan;1348
TI;Chiasso;6830
TI;Chiesa;6713
TI;Chiggiogna;6764
VD;Chigny;1134
ZH;Chilenfeld;8912
VS;Chippis;3965
TG;Chirchberg;8512
TI;Chironico;6747
VS;Choëx;1871
JU;Choindez;2830
GE;Chougny;1253
GE;Choulex;1244
GE;Choully;1242
BE;Chramershus;3453
BE;Chuderhüsi;3538
GR;Chur;7000
GR;Churwalden;7075
TI;Cimadera;6959
TI;Cimalmotto;6684
TI;Cimo;6992
GR;Cinuos-chel;7526
BS;Clara;4000
VD;Clarens;1815
VD;Clarmont;1127
TI;Claro;6702
GR;Clavadel;7272
BE;Clavaleyres;1595
VS;Clèbes;1993
NE;Clémesin;2057
GR;Clugin;7442
JU;Coeuve;2932
NE;Coffrane;2207
TI;Coglio;6678
VD;Coinsins;1267
GE;Cointrin;1216
GE;Cointrin;1216
VS;Col-des-Planches;1927
TI;Coldrerio;6877
VD;Col-du-Pillon;1865
TI;Colla;6951
GE;Collex;1239
TI;Collinasca;6683
VS;Collombey;1868
VS;Collombey-le-Grand;1868
GE;Collonge;1245
VS;Collonges;1903
GR;Cologna;7742
GE;Cologny;1223
VD;Colombier;1114
NE;Colombier;2013
TI;Comano;6949
VD;Combremont-le-Grand;1535
VD;Combremont-le-Petit;1536
VS;Commeire;1937
VD;Commugny;1291
TI;Comologno;6663
GR;Compatsch;7562
TI;Comprovasco;6716
GE;Conches;1231
GE;Conches;1231
VD;Concise;1426
VS;Condémines;1996
TI;Condra;6954
GE;Confignon;1232
VD;Constantine;1587
GR;Conters im Prättigau;7241
VS;Conthey;1964
TI;Contone;6594
TI;Contra;6646
VS;Conzor;3974
VD;Coppet;1296
JU;Corban;2826
TI;Corbella;6663
VD;Corbeyrier;1856
FR;Corbières;1647
TI;Corcapolo;6655
VD;Corcelettes;1422
BE;Corcelles;2747
FR;Corcelles;1616
NE;Corcelles;2035
VD;Corcelles-le-Jorat;1082
VD;Corcelles-près-Concise;1426
VD;Corcelles-près-Payerne;1562
VD;Corcelles-sur-Chavornay;1374
FR;Cordast;1792
VS;Cordonaz;3972
BE;Corgémont;2606
VS;Corin-de-la-Crête;3960
TI;Corippo;6631
FR;Corjolens;1754
